px,py,yaw,continuous_lane_id
814.931,84.06236,-0.4558477,5.0
-575.2028,802.1782,-0.005432076,5.0
-565.2029,802.1241,-0.005371043,3.0
-555.203,802.07,-0.005432076,3.0
-545.2032,802.0159,-0.005432076,3.0
-535.2033,801.9617,-0.005371043,3.0
-525.2035,801.9077,-0.005432076,3.0
-515.2036,801.8535,-0.005371043,3.0
-505.2038,801.7994,-0.005432076,3.0
-495.2039,801.7453,-0.005432076,3.0
-485.204,801.6912,-0.005432076,3.0
-475.2042,801.6371,-0.005432076,3.0
-465.2043,801.5829,-0.005371043,3.0
-455.2045,801.5289,-0.005432076,3.0
-445.2046,801.4747,-0.005432076,3.0
-435.2048,801.4207,-0.005432076,3.0
-425.2049,801.3665,-0.005432076,3.0
-415.2051,801.3124,-0.005371043,3.0
-405.2052,801.2583,-0.005432076,3.0
-395.2054,801.2042,-0.005371043,3.0
-385.2055,801.1501,-0.005432076,3.0
-375.2057,801.0959,-0.005432076,3.0
-365.2058,801.0418,-0.005371043,3.0
-355.206,800.9877,-0.005432076,3.0
-345.2061,800.9336,-0.005371043,3.0
-335.2062,800.8795,-0.005432076,3.0
-325.2064,800.8254,-0.005432076,3.0
-315.2065,800.7712,-0.005371043,3.0
-305.2067,800.7172,-0.005432076,3.0
-295.2068,800.663,-0.005371043,3.0
-285.207,800.6089,-0.005432076,3.0
-275.2071,800.5548,-0.005432076,3.0
-265.2073,800.5007,-0.005432076,3.0
-255.2074,800.4466,-0.005432159,3.0
-245.2076,800.3925,-0.005371126,3.0
-235.2077,800.3384,-0.005432159,3.0
-225.2079,800.2842,-0.005371126,3.0
-215.208,800.2302,-0.005432159,3.0
-205.2081,800.176,-0.005432159,3.0
-195.2083,800.1219,-0.005371126,3.0
-185.2084,800.0678,-0.005432159,3.0
-175.2086,800.0137,-0.005371126,3.0
-165.2087,799.9596,-0.005432159,3.0
-155.2089,799.9055,-0.005432159,3.0
-145.209,799.8513,-0.005371126,3.0
-135.2092,799.7972,-0.005432159,3.0
-125.2093,799.7431,-0.005371126,3.0
-115.2095,799.689,-0.005432159,3.0
-105.2096,799.6349,-0.005432159,3.0
-95.20976,799.5807,-0.005371126,3.0
-85.20991,799.5267,-0.005432159,3.0
-75.21005,799.4725,-0.005371126,3.0
-65.2102,799.4185,-0.005432159,3.0
-55.21035,799.3643,-0.005432159,3.0
-45.21049,799.3102,-0.005432159,3.0
-35.21064,799.2561,-0.005432159,3.0
-25.21078,799.202,-0.005371126,3.0
-15.21093,799.1479,-0.005432153,3.0
-5.211077,799.0938,-0.005371123,3.0
4.788776,799.0397,-0.005432156,3.0
14.78863,798.9855,-0.005432153,3.0
24.78848,798.9314,-0.005371126,3.0
34.78834,798.8773,-0.005432159,3.0
44.78819,798.8232,-0.005371126,3.0
54.78804,798.7691,-0.005432159,3.0
64.7879,798.715,-0.005432159,3.0
74.78775,798.6608,-0.005371126,3.0
84.78761,798.6068,-0.005432159,3.0
94.78746,798.5526,-0.005371126,3.0
104.7873,798.4985,-0.005432159,3.0
114.7872,798.4444,-0.005432159,3.0
124.787,798.3903,-0.005432159,3.0
134.7869,798.3362,-0.005432159,3.0
144.7867,798.282,-0.005371126,3.0
154.7866,798.228,-0.005432159,3.0
164.7864,798.1738,-0.005432159,3.0
174.7863,798.1198,-0.005432159,3.0
184.7861,798.0656,-0.005432159,3.0
194.786,798.0115,-0.005371126,3.0
204.7858,797.9574,-0.005432159,3.0
214.7857,797.9033,-0.005371126,3.0
224.7856,797.8492,-0.005432159,3.0
234.7854,797.795,-0.005432159,3.0
244.779,797.7335,-0.008972339,3.0
254.7786,797.6437,-0.009033372,3.0
264.7782,797.5539,-0.008972201,3.0
274.7778,797.4641,-0.008972201,3.0
284.7773,797.3743,-0.008972201,3.0
294.7769,797.2845,-0.008972201,3.0
304.7766,797.1948,-0.008972201,3.0
314.7762,797.105,-0.008972201,3.0
324.7758,797.0152,-0.008972201,3.0
334.7753,796.9254,-0.008972201,3.0
344.7749,796.8356,-0.008972201,3.0
-575.2217,798.6783,-0.005432076,3.0
-565.2218,798.6241,-0.005432076,4.0
-555.222,798.57,-0.005371043,4.0
-545.2221,798.5159,-0.005432076,4.0
-535.2222,798.4618,-0.005371043,4.0
-525.2224,798.4077,-0.005432076,4.0
-515.2225,798.3536,-0.005432076,4.0
-505.2227,798.2995,-0.005432076,4.0
-495.2228,798.2454,-0.005432076,4.0
-485.223,798.1912,-0.005371043,4.0
-475.2231,798.1371,-0.005432076,4.0
-465.2233,798.083,-0.005371043,4.0
-455.2234,798.0289,-0.005432076,4.0
-445.2236,797.9748,-0.005432076,4.0
-435.2237,797.9207,-0.005371043,4.0
-425.2239,797.8666,-0.005432076,4.0
-415.224,797.8124,-0.005371043,4.0
-405.2242,797.7584,-0.005432076,4.0
-395.2243,797.7042,-0.005432076,4.0
-385.2245,797.6501,-0.005371043,4.0
-375.2246,797.596,-0.005432076,4.0
-365.2247,797.5419,-0.005371043,4.0
-355.2249,797.4878,-0.005432076,4.0
-345.225,797.4337,-0.005432076,4.0
-335.2252,797.3796,-0.005432076,4.0
-325.2253,797.3254,-0.005432076,4.0
-315.2255,797.2713,-0.005371043,4.0
-305.2256,797.2172,-0.005432076,4.0
-295.2258,797.1631,-0.005432076,4.0
-285.2259,797.109,-0.005432076,4.0
-275.2261,797.0549,-0.005432076,4.0
-265.2262,797.0007,-0.005371043,4.0
-255.2263,796.9467,-0.005432159,4.0
-245.2265,796.8925,-0.005371126,4.0
-235.2267,796.8384,-0.005432159,4.0
-225.2268,796.7843,-0.005432159,4.0
-215.2269,796.7302,-0.005371126,4.0
-205.2271,796.6761,-0.005432159,4.0
-195.2272,796.6219,-0.005371126,4.0
-185.2274,796.5679,-0.005432159,4.0
-175.2275,796.5137,-0.005432159,4.0
-165.2277,796.4596,-0.005371126,4.0
-155.2278,796.4055,-0.005432159,4.0
-145.228,796.3514,-0.005371126,4.0
-135.2281,796.2973,-0.005432159,4.0
-125.2283,796.2432,-0.005432159,4.0
-115.2284,796.1891,-0.005432159,4.0
